username,image,species,sporangia,leaf_division
not-logged-in-2770d772f87a7a95fe9f,C0603535F_67579.jpg,Dryopteris marginalis,Yes,Three Divisions
FernVolunter,C0602816F_19253.jpg,Dryopteris carthusiana,Yes,Three Divisions
FernVolunter,C0603631F_34723.jpg,Dryopteris marginalis,Yes,Three Divisions
FernVolunter,C0603404F_34703.jpg,Dryopertis spinulosa var. intermmedia,Yes,Three Divisions
not-logged-in-2770d772f87a7a95fe9f,C0603846F_52020.jpg,Dryopteris,Yes,Three Divisions
FernVolunter,C0603831F_7044.jpg,Dryopteris,Yes,Four or More Divisions
FernVolunter,C0603393F_54258.jpg,,Yes,One Division
fernvolunteer2,C0603831F_7044.jpg,dryopteris dilatata,Yes,Four or More Divisions
fernvolunteer2,C0604017F_14411.jpg,diyoptirus acrostichaidis,Yes,One Division
FernVolunter,C0620300F_44285.jpg,sryopteria effusa (sw.) Urb,Yes,Four or More Divisions
not-logged-in-2770d772f87a7a95fe9f,C0603634F_49488.jpg,,No,Four or More Divisions
not-logged-in-2770d772f87a7a95fe9f,C0603831F_7044.jpg,,No,Two Divisions
FernVolunter,C0647279F_44827.jpg,Saffordii C.chi,Yes,Four or More Divisions
not-logged-in-2770d772f87a7a95fe9f,C0603845F_51140.jpg,,Yes,Three Divisions
not-logged-in-2770d772f87a7a95fe9f,C0676194F_1103963.jpg,Dryopteris spinulosa,Yes,Three Divisions
fernvolunteer2,C0676272F_1103300.jpg,dryopteris felix,No,Two Divisions
not-logged-in-2770d772f87a7a95fe9f,C0647264F_25097.jpg,Dryopteris patula,Yes,Four or More Divisions
fernvolunteer2,C0647283F_40825.jpg,Dryopteris saffordii,Yes,Three Divisions
not-logged-in-2770d772f87a7a95fe9f,C0647264F_25097.jpg,dryopteris patula,Yes,Three Divisions
fernvolunteer2,C0045501F_13573.jpg,Aspidium marginale,Yes,Three Divisions
FernVolunter,C0602858F_8676.jpg,,Yes,Three Divisions
not-logged-in-2770d772f87a7a95fe9f,C0620263F_36623.jpg,dryopteris patlua,Yes,Two Divisions
FernVolunter,C0647283F_40825.jpg,dryopteris saffordii,Yes,Four or More Divisions
fernvolunteer2,nan_38857.jpg,Dryopteris,Yes,Four or More Divisions
FernVolunter,C0647264F_25097.jpg,Dryopteris patula,Yes,Four or More Divisions
FernVolunter,V0032566F_68500.jpg,Thelpteris cristata,Yes,Three Divisions
not-logged-in-2770d772f87a7a95fe9f,C0602858F_8676.jpg,Aspidium Boottii Tuckerm,Yes,Four or More Divisions
fernvolunteer2,C0602891F_48939.jpg,dryopteris cristata,Yes,One Division
FernVolunter,C0603787F_25192.jpg,dryopteris caupylaptera,Yes,Two Divisions
fernvolunteer2,C0647279F_44827.jpg,dryopteris sattardii,Yes,Three Divisions
not-logged-in-2770d772f87a7a95fe9f,C0620300F_44285.jpg,,Yes,One Division
FernVolunter,C0603528F_40557.jpg,dryopteris marginalis,Yes,Four or More Divisions
not-logged-in-2770d772f87a7a95fe9f,C0045536F_46438.jpg,Dryopteris carthusiana,Unsure/Hard to tell,One Division
FernVolunter,F2153039_44824.jpg,dryopteris saffordi,Yes,Three Divisions
fernvolunteer2,C0603594F_48201.jpg,dryopteris  merginalis,Yes,Two Divisions
not-logged-in-2770d772f87a7a95fe9f,C0602858F_8676.jpg,,Yes,Four or More Divisions
fernvolunteer2,C0603404F_34703.jpg,,Yes,Four or More Divisions
not-logged-in-2770d772f87a7a95fe9f,C0603594F_48201.jpg,dryopteris marginalis,No,Three Divisions
FernVolunter,C0603634F_49488.jpg,Dryopteris oreopteris,No,Three Divisions
fernvolunteer2,C0603846F_52020.jpg,dryopteris,Yes,Two Divisions
fernvolunteer2,C0603416F_51736.jpg,intermedia,No,Three Divisions
fernvolunteer2,F2153039_44824.jpg,,Yes,Three Divisions
not-logged-in-2770d772f87a7a95fe9f,C0602891F_48939.jpg,Dryopteris cristata,No,Three Divisions
fernvolunteer3,C0603416F_51736.jpg,Dryopteris intermedia,Yes,One Division
fernvolunteer2,C0603754F_15187.jpg,,Yes,
not-logged-in-2770d772f87a7a95fe9f,C0603161F_37688.jpg,,Yes,Three Divisions
fernvolunteer3,C0603404F_34703.jpg,,Yes,Three Divisions
fernvolunteer4,C0603431F_6933.jpg,Dryopteris ludoviciana,Yes,Three Divisions
fernvolunteer4,C0603161F_37688.jpg,Dryopteris floridana,Yes,One Division
mvonkonrat,C0603495F_18611.jpg,Dryopteris marginalis,Yes,Two Divisions
mvonkonrat,C0603594F_48201.jpg,Dryopteris marginalis,Unsure/Hard to tell,Three Divisions
mvonkonrat,C0602995F_20057.jpg,Dryopertis disjuncta,Yes,Four or More Divisions
mvonkonrat,C0602858F_8676.jpg,Dryopteris cristata x spinulosa,Yes,Three Divisions
mvonkonrat,C0620300F_44285.jpg,Dryopteris patula,Yes,Three Divisions
mvonkonrat,C0620150F_37716.jpg,Dryopteris parallelogramma,Yes,Two Divisions